job title,company name,location,salary,type of employment,skills,links
Full Stack Developer,Easy System -,"Cairo, Egypt ",Confidential,"['Full Time', 'Part Time']",Experienced · 3 - 10 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Full Stack Development · Java · Computer Science · Angular · CSS · HTML,https://wuzzuf.net/jobs/p/C1tWJ8pjKBsh-Full-Stack-Developer-Easy-System-Cairo-Egypt?o=130&l=sp&t=sj&a=python|search-v3|navbg
Computer Science Teacher,Don Bosco -,"Shubra, Cairo, Egypt ",Confidential,"['Full Time', 'Part Time']",Entry Level · 0 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Education/Teaching · Computer Science · Information Technology (IT) · computer · Skills · Software Development · Software Engineering · Teaching,https://wuzzuf.net/jobs/p/bCNCgoDzWrTk-Computer-Science-Teacher-Don-Bosco-Cairo-Egypt?o=131&l=sp&t=sj&a=python|search-v3|navbg
Senior Front End Developer,Dafater -,"Nasr City, Cairo, Egypt ",Confidential,"['Full Time', 'Work From Home']",Experienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · front-end · Information Technology (IT) · JavaScript · Software Development · Web · HTML · jQuery,https://wuzzuf.net/jobs/p/Ganw296LvwQS-Senior-Front-End-Developer-Dafater-Cairo-Egypt?o=132&l=sp&t=sj&a=python|search-v3|navbg
Trevipay| Senior Software Testing Engineer - El Gouna,Kalasko -,"Hurghada, Red Sea, Egypt ",Confidential,['Full Time'],Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Selenium · Testim.io · Katalon Studio · CI/CD · Apache JMeter · Sitespeed.io · Java,https://wuzzuf.net/jobs/p/R4xwRMMNrQpe-Trevipay-Senior-Software-Testing-Engineer---El-Gouna-Kalasko-Red-Sea-Egypt?o=133&l=sp&t=sj&a=python|search-v3|navbg
Odoo Project Manager,Confidential -,"Cairo, Egypt ",Confidential,['Full Time'],Manager · 8 - 10 Yrs of Exp · IT/Software Development · Project/Program Management · Engineering - Telecom/Technology · ERP · Odoo · Business Processes · Information Technology (IT) · IT · PMP · Project Management,https://wuzzuf.net/jobs/p/YD0cRNrkEoiK-Odoo-Project-Manager-Cairo-Egypt?o=134&l=sp&t=sj&a=python|search-v3|navbg
Odoo Developer & Pre-Sales Specialist,Elitbuzz -,"Maadi, Cairo, Egypt ","15000 to 18000 EGP Per Month, Pre sales commissions will be given",['Full Time'],Experienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software Development · SW Development · Pre-Sales · ERP Implementation · ERP Software · Communication · Communication skills · Computer Science,https://wuzzuf.net/jobs/p/n5RwrIqBcIRZ-Odoo-Developer-Pre-Sales-Specialist-Elitbuzz-Cairo-Egypt?o=135&l=sp&t=sj&a=python|search-v3|navbg
Senior Professional Services,FlairsTech -,"Maadi, Cairo, Egypt ",Confidential,['Full Time'],Experienced · 6 - 8 Yrs of Exp · Customer Service/Support · IT/Software Development · Engineering - Telecom/Technology · Engineering · Customer Support · Communication skills · Software Implementation · Project Management Professional · BI · Mysql Database,https://wuzzuf.net/jobs/p/xnMXlfX8Ssnj-Senior-Professional-Services-FlairsTech-Cairo-Egypt?o=136&l=sp&t=sj&a=python|search-v3|navbg
GIS Database Administrator,Perfect Presentation -,"6th of October, Giza, Egypt ",Confidential,['Full Time'],Experienced · 8+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · ArcGIS · Database · Software Engineering,https://wuzzuf.net/jobs/p/mUYCCjykyS95-GIS-Database-Administrator-Perfect-Presentation-Giza-Egypt?o=137&l=sp&t=sj&a=python|search-v3|navbg
MEP BIM Project Engineer,Pinnacle Real Estate Investments and Development Management -,"Maadi, Cairo, Egypt ","Confidential, Social and Medical Insurance",['Full Time'],Experienced · 2 - 5 Yrs of Exp · Engineering - Construction/Civil/Architecture · Project/Program Management · Engineering · Mechanical Engineering · Revit · Navisworks · Project Management · MEP · Dynamo · C## Programing,https://wuzzuf.net/jobs/p/JjneusIUhP62-MEP-BIM-Project-Engineer-Pinnacle-Real-Estate-Investments-and-Development-Management-Cairo-Egypt?o=138&l=sp&t=sj&a=python|search-v3|navbg
C++ / javascript Developer,LyRise -,"Cairo, Egypt ",Confidential,['Full Time'],Experienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Engineering · JavaScript · Software Engineering · c++ · Android · Development · Information Technology (IT),https://wuzzuf.net/jobs/p/v9lKjm8IK536-C-javascript-Developer-LyRise-Cairo-Egypt?o=139&l=sp&t=sj&a=python|search-v3|navbg
Senior Full Stack Developer,Infasme -,"Heliopolis, Cairo, Egypt ",Confidential,['Full Time'],Experienced · 5 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering · Computer Engineering · Software Development · Information Technology (IT) · English · Computer Science,https://wuzzuf.net/jobs/p/pGDmZqGrStaN-Senior-Full-Stack-Developer-Fotopia-Cairo-Egypt?o=140&l=sp&t=sj&a=python|search-v3|navbg
Senior Business Intelligence Developer,Confidential -,"Maadi, Cairo, Egypt ",Confidential,['Full Time'],Experienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Analysis · BI · business · Business Development · Business Intelligence · Communication skills · Computer Science · Development,https://wuzzuf.net/jobs/p/aOifNpuFajeK-Senior-Business-Intelligence-Developer-Cairo-Egypt?o=141&l=sp&t=sj&a=python|search-v3|navbg
Unity Game Developer,Confidential -,"Badr City, Cairo, Egypt ",Confidential,['Full Time'],Experienced · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Unity 3D · Design · Software Development · Scripting · Game · Git · GUI · Development,https://wuzzuf.net/jobs/p/C2SsUEspapYD-Unity-Game-Developer-Cairo-Egypt?o=142&l=sp&t=sj&a=python|search-v3|navbg
Data Engineers / Senior (Multinational Company),Hala Consulting  -,"New Cairo, Cairo, Egypt ","Confidential, A very attractive salary along with other attractive benefits",['Full Time'],Experienced · 3+ Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · back-end · Computer Science · Data · Software Development · Software Engineering · Architecture · AWS,https://wuzzuf.net/jobs/p/bImU6Lr0L1ch-Data-Engineers-Senior-Multinational-Company-Hala-Consulting-Cairo-Egypt?o=143&l=sp&t=sj&a=python|search-v3|navbg
