job title,company name,location,salary,type of employment,skills,links
Data Engineer,Centro CDX -,"Maadi, Cairo, Egypt ",Confidential,['Full Time'],Experienced · 3+ Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Engineering · Computer Science · Data · Database · Engineering · Information Technology (IT) · IT,https://wuzzuf.net/jobs/p/YgnlNerNUQml-Data-Engineer-Centro-CDX-Cairo-Egypt?o=23&l=sp&t=sj&a=python|search-v3|navbg
Sr. Backend/Database Engineer,Dar Al Handasah -,"Sheikh Zayed, Giza, Egypt ",Confidential,['Full Time'],Experienced · 7 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · JavaScript · .Net · C# · VB.net · Java · SQL · PostgreSQL,https://wuzzuf.net/jobs/p/DYLgoCaWq8vT-Sr-BackendDatabase-Engineer-Dar-Al-Handasah-Giza-Egypt?o=24&l=sp&t=sj&a=python|search-v3|navbg
Sr. Data Analytics Engineer,Dar Al Handasah -,"Smart Village, Giza, Egypt ",Confidential,['Full Time'],Experienced · 7 - 10 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Database Development · DB Design · Dimensional Modeling · Python · SQL · PostgreSQL,https://wuzzuf.net/jobs/p/0n9YZy9gIosl-Sr-Data-Analytics-Engineer-Dar-Al-Handasah-Giza-Egypt?o=25&l=sp&t=sj&a=python|search-v3|navbg
Senior Full Stack Developer,Egyptian Medical Syndicates Union -,"Garden City, Cairo, Egypt ",25000 to 40000 EGP Per Month,['Full Time'],Experienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · API · Computer Science · Development · Java · Linux · Programming · JavaScript · Software Development,https://wuzzuf.net/jobs/p/qAEcuqlu40lh-Senior-Full-Stack-Developer-Egyptian-Medical-Syndicates-Union-Cairo-Egypt?o=26&l=sp&t=sj&a=python|search-v3|navbg
Full Stack Developer,Egyptian Medical Syndicates Union -,"Garden City, Cairo, Egypt ",15000 to 30000 EGP Per Month,['Full Time'],Experienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · API · Computer Science · Development · Java · Linux · Programming · JavaScript · Software Development,https://wuzzuf.net/jobs/p/CrdBULj7U8Rp-Full-Stack-Developer-Egyptian-Medical-Syndicates-Union-Cairo-Egypt?o=27&l=sp&t=sj&a=python|search-v3|navbg
Odoo Developer,classera -,"Cairo, Egypt ",Confidential,['Full Time'],Experienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Programming · Computer Science · HTML · XML · jQuery · Odoo · PostgreSQL · JavaScript,https://wuzzuf.net/jobs/p/O4QkXOqIIJ3B-Odoo-Developer-classera-Cairo-Egypt?o=28&l=sp&t=sj&a=python|search-v3|navbg
DevOps Engineer (Remotely for USA),Mobile Wave 3 -,"Nasr City, Cairo, Egypt ",Confidential,['Full Time'],Experienced · 6 - 15 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Cloud · Computer Science · DevOps · AWS · Information Technology (IT) · Java · Kubernetes,https://wuzzuf.net/jobs/p/4WZ4aYCHskVC-DevOps-Engineer-Remotely-for-USA-Mobile-Wave-3-Cairo-Egypt?o=29&l=sp&t=sj&a=python|search-v3|navbg
Senior .NET Full Stack Developer (.NET Core & Angular),Excel Systems   -,"Sheikh Zayed, Giza, Egypt ",Male,['Full Time'],Experienced · 4+ Yrs of Exp · males_only · IT/Software Development · Engineering - Telecom/Technology · ASP.NET · ADO.NET · C#.Net · .NET · .NEt Full Stack Developer · Full Stack Developer · java · Python,https://wuzzuf.net/jobs/p/b7HavRTuH7Xc-Senior-NET-Full-Stack-Developer-NET-Core-Angular-Excel-Systems-Giza-Egypt?o=30&l=sp&t=sj&a=python|search-v3|navbg
R&D Software Engineer (RSDE-L2),TensorGraph -,"Maadi, Cairo, Egypt ",Confidential,['Full Time'],Experienced · 2 - 4 Yrs of Exp · R&D/Science · IT/Software Development · Analyst/Research · Computer Science · Machine Learning · Computer Vision · C++ · C# · AWS · Algorithms,https://wuzzuf.net/jobs/p/0qQa4U8C6Ooi-RD-Software-Engineer-RSDE-L2-TensorGraph-Cairo-Egypt?o=31&l=sp&t=sj&a=python|search-v3|navbg
Front End Developer,Dafater -,"Nasr City, Cairo, Egypt ",Confidential,['Full Time'],Experienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Front-End Development · OOP · JavaScript · Computer Science · Information Technology (IT) · Programming · Software Development · Vue,https://wuzzuf.net/jobs/p/JcN3rcvkSQ7h-Front-End-Developer-Dafater-Cairo-Egypt?o=32&l=sp&t=sj&a=python|search-v3|navbg
ERP Developer & Implementer,Mass -,"New Cairo, Cairo, Egypt ",Male,['Part Time'],Experienced · 4 - 6 Yrs of Exp · males_only · IT/Software Development · Engineering - Telecom/Technology · Python · ERP · Software Development · Database · Communication · Information Technology (IT) · Telecom Engineering · Computer Science,https://wuzzuf.net/jobs/p/WW3njXYXj7un-ERP-Developer-Implementer-Mass-Cairo-Egypt?o=33&l=sp&t=sj&a=python|search-v3|navbg
Social Media Listening Analyst (SMMA),Confidential -,"Dokki, Giza, Egypt ",Confidential,['Full Time'],Experienced · 3 - 5 Yrs of Exp · Marketing/PR/Advertising · Analyst/Research · Media/Journalism/Publishing · Analysis · Analytics · Digital Marketing · Marketing · Social Media · media · Data visualization,https://wuzzuf.net/jobs/p/odauymG4nUA9-Social-Media-Listening-Analyst-SMMA-Giza-Egypt?o=34&l=sp&t=sj&a=python|search-v3|navbg
Application Administrator,Egypt University of Informatics (EUI) -,"New Capital, Cairo, Egypt ",Confidential,['Full Time'],Experienced · 2 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Database · AWS · Computer Science · Information Technology (IT) · Communication · JavaScript · ERP · Python,https://wuzzuf.net/jobs/p/qowuyuQ1bGXQ-Application-Administrator-Egypt-University-of-Informatics-EUI-Cairo-Egypt?o=35&l=sp&t=sj&a=python|search-v3|navbg
Software Tester,Etisalat Egypt -,"Maadi, Cairo, Egypt ",Confidential,['Full Time'],Experienced · 2+ Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Computer Science · Automation · Information Technology (IT) · Science · Design · Quality Control · Software,https://wuzzuf.net/jobs/p/qwUFf5pT1hRo-Software-Tester-Etisalat-Egypt-Cairo-Egypt?o=36&l=sp&t=sj&a=python|search-v3|navbg
Senior Odoo Developer,Peerless -,"Mohandessin, Giza, Egypt ","Confidential, Social & Medical Insurance",['Full Time'],Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Odoo · PostgreSQL · jQuery · JavaScript · XML · HTML · Odoo Development · odoo migration,https://wuzzuf.net/jobs/p/0c4rUhZhSeaV-Senior-Odoo-Developer-Peerless-Giza-Egypt?o=37&l=sp&t=sj&a=python|search-v3|navbg
Linux System Administrator,OpenCode -,"Cairo, Egypt ",Confidential,['Full Time'],Experienced · 2+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Telecommunication · MNOs · VAS · SS7 · VXML · ISUP · MAP,https://wuzzuf.net/jobs/p/gxskrnqVOWkG-Linux-System-Administrator-OpenCode-Cairo-Egypt?o=38&l=sp&t=sj&a=python|search-v3|navbg
AWS Developer,Collars HR -,"New Cairo, Cairo, Egypt ",Confidential,['Full Time'],Experienced · 6+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · AWS · Computer Science · Python · Software Development · SQL · JSON · REST · XML,https://wuzzuf.net/jobs/p/ACaiQgsVTLFX-AWS-Developer-Collars-HR-Cairo-Egypt?o=39&l=sp&t=sj&a=python|search-v3|navbg
Segmentations & Data Mining Senior Specialist,Etisalat Egypt -,"Cairo, Egypt ",Confidential,['Full Time'],Entry Level · 1 - 4 Yrs of Exp · Marketing/PR/Advertising · Analyst/Research · Data · Data Mining · Computer Science · Information Technology (IT) · Python · Machine Learning · Power BI,https://wuzzuf.net/jobs/p/6y9iPo2Sa6R6-Segmentations-Data-Mining-Senior-Specialist-Etisalat-Egypt-Cairo-Egypt?o=40&l=sp&t=sj&a=python|search-v3|navbg
Odoo Developer - Kuwait,Furdtk -,"Kuwait City, Kuwait ",Male,['Full Time'],Experienced · 2 - 5 Yrs of Exp · males_only · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · API · Odoo · Linux · Python · Computer Science · Design · HTML,https://wuzzuf.net/jobs/p/I6Z3me6vTeYw-Odoo-Developer---Kuwait-Furdtk-Kuwait-City-Kuwait?o=41&l=sp&t=sj&a=python|search-v3|navbg
DevOps Lead,Unifonic -,"Cairo, Egypt ",Confidential,"['Full Time', 'Work From Home']",Manager · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Docker · DevOps · Kubernetes · AWS · CI/CD · Jenkins · Terraform · Agile,https://wuzzuf.net/jobs/p/abgHEb03Xa9g-DevOps-Lead-Unifonic-Cairo-Egypt?o=42&l=sp&t=sj&a=python|search-v3|navbg
Senior Data Scientist,Wakeb Data -,"Mohandessin, Giza, Egypt ",Confidential,['Full Time'],Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · data scientist · Computer Science · SQL · Software Development · Data Science · Information Technology (IT) · Algorithms · Python,https://wuzzuf.net/jobs/p/EoqeMUGYN5D1-Senior-Data-Scientist-Wakeb-Data-Giza-Egypt?o=43&l=sp&t=sj&a=python|search-v3|navbg
PHP Backend Developer,Restart Technology -,"Heliopolis, Cairo, Egypt ",Confidential,['Full Time'],Experienced · 3 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Software Development · laravel · Git · REST · Backend · MySQL · PHP,https://wuzzuf.net/jobs/p/nhkMI94ZD4Qt-PHP-Backend-Developer-Restart-Technology-Cairo-Egypt?o=44&l=sp&t=sj&a=python|search-v3|navbg
Junior Cloud Native & Infrastructure,BBI-Consultancy -,"Cairo, Egypt ",Confidential,['Full Time'],Entry Level · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Cloud · Computer Science · Docker · Python · MySQL,https://wuzzuf.net/jobs/p/5nTGgbwe5VwM-Junior-Cloud-Native-Infrastructure-BBI-Consultancy-Cairo-Egypt?o=45&l=sp&t=sj&a=python|search-v3|navbg
Devops Engineer,RMG -,"Riyadh, Saudi Arabia ",Confidential,['Freelance / Project'],Experienced · 4 - 6 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · DevOps · Information Technology (IT) · AWS · Azure · Bash · Cloud · Computer Science,https://wuzzuf.net/jobs/p/U5EXRMQtLjkf-Devops-Engineer-RMG-Riyadh-Saudi-Arabia?o=46&l=sp&t=sj&a=python|search-v3|navbg
Ruby ON Rails Developer,Capella Solutions -,"Cairo, Egypt ",Confidential,"['Full Time', 'Work From Home']",Experienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Ruby · Rails · coding · Ruby on Rails · Software Development · Computer Engineering · Computer Science · English,https://wuzzuf.net/jobs/p/b01eomjph8Gi-Ruby-ON-Rails-Developer-Capella-Solutions-Cairo-Egypt?o=47&l=sp&t=sj&a=python|search-v3|navbg
Odoo Developer,Royal Herbs  -,"Haram, Giza, Egypt ",Confidential,['Full Time'],Experienced · 3 - 7 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Database · Engineering · Odoo · Python · Software,https://wuzzuf.net/jobs/p/8UiMlGDd2uSf-Odoo-Developer-Royal-Herbs-Giza-Egypt?o=48&l=sp&t=sj&a=python|search-v3|navbg
DevOps Engineer,Luftborn -,"Heliopolis, Cairo, Egypt ",Confidential,['Full Time'],Experienced · 2+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Azure · DevOps · Network Security · AWS · Elasticsearch · Bash Scripting · Python Scripting,https://wuzzuf.net/jobs/p/DzFw0PM9Og5y-DevOps-Engineer-Luftborn-Cairo-Egypt?o=49&l=sp&t=sj&a=python|search-v3|navbg
Senior Computer Vision Engineer,Atomica -,"Cairo, Egypt ",Confidential,"['Full Time', 'Work From Home']",Experienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Engineering · Mathematics · Software Development · Software Engineering · C++ · Git · Research · computer,https://wuzzuf.net/jobs/p/M7fjS8nyCB15-Senior-Computer-Vision-Engineer-Atomica-Cairo-Egypt?o=50&l=sp&t=sj&a=python|search-v3|navbg
Software Automation Testing Engineer,Confidential -,"Maadi, Cairo, Egypt ",Confidential,"['Full Time', 'Work From Home']",Experienced · 2 - 6 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Computer Science · Automation Testing · ISTQB · Testing · Information Technology (IT) · English · Quality Assurance,https://wuzzuf.net/jobs/p/pbOCpj7iHaVy-Software-Automation-Testing-Engineer-Cairo-Egypt?o=51&l=sp&t=sj&a=python|search-v3|navbg
Linux System Administrator,Softxpert Incorporation  -,"Alexandria, Egypt ",Confidential,['Full Time'],Experienced · 2 - 4 Yrs of Exp · Administration · IT/Software Development · Engineering - Telecom/Technology · Administration · Linux · Engineering · Security · System Administration · AWS · Computer Science,https://wuzzuf.net/jobs/p/v3cWKWWgMOJJ-Linux-System-Administrator-Softxpert-Incorporation-Alexandria-Egypt?o=52&l=sp&t=sj&a=python|search-v3|navbg
Data Analytics Engineer,Dar Al Handasah -,"Smart Village, Giza, Egypt ",Confidential,['Full Time'],Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · sql · PostgreSQL · Python · BI · Linux · Database · Thingsboard · IOT,https://wuzzuf.net/jobs/p/qrvyUBYzpj5p-Data-Analytics-Engineer-Dar-Al-Handasah-Giza-Egypt?o=53&l=sp&t=sj&a=python|search-v3|navbg
Backend Developer,Dar Al Handasah -,"Smart Village, Giza, Egypt ",Confidential,['Full Time'],Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · .Net · SQL · JavaScript · VB.net · Power BI · Azure · Thingsboard,https://wuzzuf.net/jobs/p/5IvCXdR4CIlS-Backend-Developer-Dar-Al-Handasah-Giza-Egypt?o=54&l=sp&t=sj&a=python|search-v3|navbg
Senior Machine learning Engineer,Botit -,"Abdeen, Cairo, Egypt ",Confidential,['Full Time'],Experienced · 3 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Machine Learning · Python · NLP · Software · Research · Git · Algorithms · Statistics,https://wuzzuf.net/jobs/p/71X8xvySx9KF-Senior-Machine-learning-Engineer-Botit-Cairo-Egypt?o=55&l=sp&t=sj&a=python|search-v3|navbg
Embedded Linux Software Engineer,Centro CDX -,"Cairo, Egypt ",25000 to 40000 EGP Per Month,['Full Time'],Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Computer Engineering · Computer Science · Python · Linux · Information Technology (IT) · Agile · Git,https://wuzzuf.net/jobs/p/qIrpRSavBmlC-Embedded-Linux-Software-Engineer-Centro-CDX-Cairo-Egypt?o=56&l=sp&t=sj&a=python|search-v3|navbg
Odoo Developer,Al Aliaa  -,"Mohandessin, Giza, Egypt ",Confidential,['Full Time'],Experienced · 3 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Odoo · JavaScript · Computer Science · Information Technology (IT) · PostgreSQL · HTML · Python · CSS,https://wuzzuf.net/jobs/p/X8gPaQ7Wv3bO-Odoo-Developer-Al-Aliaa-Giza-Egypt?o=57&l=sp&t=sj&a=python|search-v3|navbg
Senior Software Engineer - Backend (Remotely),SSC Egypt -,"Cairo, Egypt ",Confidential,"['Full Time', 'Work From Home']",Experienced · 3 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · coding · Computer Science · Java · JavaScript · Python · Software Development · Jenkins · MongoDB,https://wuzzuf.net/jobs/p/H3xVUuwBHx0r-Senior-Software-Engineer---Backend-Remotely-SSC-Egypt-Cairo-Egypt?o=58&l=sp&t=sj&a=python|search-v3|navbg
Senior Odoo Developer - Cairo,etmana -,"Nasr City, Cairo, Egypt ",Confidential,['Full Time'],Experienced · 4 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Startup · Odoo Development · Computer Engineering · Computer Science · Odoo Framework · Python · Linux · OpenERP,https://wuzzuf.net/jobs/p/Gmfaz116yg6c-Senior-Odoo-Developer---Cairo-etmana-Cairo-Egypt?o=59&l=sp&t=sj&a=python|search-v3|navbg
Senior Computer Vision Engineer,wobot.ai -,"New Delhi, India ",Confidential,"['Full Time', 'Work From Home']",Senior Management · 3 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · TensorFlow · Python · PyTorch · CNN · yolo · Computer Vision · Deep Learning · Video Intelligence,https://wuzzuf.net/jobs/p/ZRkuYvC25umo-Senior-Computer-Vision-Engineer-wobot-ai-New-Delhi-India?o=60&l=sp&t=sj&a=python|search-v3|navbg
UI Developer,NOK for Human Capital Solutions -,"New Cairo, Cairo, Egypt ",Confidential,['Full Time'],Experienced · 5+ Yrs of Exp · Creative/Design/Art · IT/Software Development · Angular Js · Python · oracle · SQL · Spring Boot · Computer Science · Angular · Information Technology (IT),https://wuzzuf.net/jobs/p/COBmpalH33jU-UI-Developer-NOK-for-Human-Capital-Solutions-Cairo-Egypt?o=61&l=sp&t=sj&a=python|search-v3|navbg
AI/ML (Artificial Intelligence/Machine Learning) Lead,SURE International Technology -,"Cairo, Egypt ",Confidential,['Full Time'],Manager · 5+ Yrs of Exp · IT/Software Development · Operations/Management · Engineering - Telecom/Technology · Computer Science · Python · Artificial Intelligence · AI · Machine Learning · Engineering · Azure,https://wuzzuf.net/jobs/p/O9CVoliDvZQz-AIML-Artificial-IntelligenceMachine-Learning-Lead-SURE-International-Technology-Cairo-Egypt?o=62&l=sp&t=sj&a=python|search-v3|navbg
DevOps Engineer/Senior Engineer,ITS  -,"Cairo, Egypt ",Confidential,['Full Time'],Experienced · 3 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Docker · Engineering · Git · Information Technology (IT) · Java · JavaScript · Kubernetes,https://wuzzuf.net/jobs/p/CvJkU5B2TRfA-DevOps-EngineerSenior-Engineer-ITS-Cairo-Egypt?o=63&l=sp&t=sj&a=python|search-v3|navbg
Devops Engineer,Kashier Payment Solutions -,"Zamalek, Cairo, Egypt ",Confidential,['Full Time'],Experienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · DevOps · Software Development · Python · Agile · AWS · Automation,https://wuzzuf.net/jobs/p/SmHpaFLHR5Zx-Devops-Engineer-Kashier-Payment-Solutions-Cairo-Egypt?o=64&l=sp&t=sj&a=python|search-v3|navbg
DevOps Senior Engineer,ITS  -,"Cairo, Egypt ",Confidential,['Full Time'],Experienced · 4 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · DevOps · Agile · Python · Kubernetes · Docker · Computer Science · Information Technology (IT),https://wuzzuf.net/jobs/p/iwGXfbHsLP4l-DevOps-Senior-Engineer-ITS-Cairo-Egypt?o=65&l=sp&t=sj&a=python|search-v3|navbg
Devops Engineer - Software Development,Rasan -,"Nasr City, Cairo, Egypt ",Confidential,['Full Time'],Experienced · 4 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · AWS · Computer Science · DevOps · Docker · Engineering · Information Technology (IT) · Java,https://wuzzuf.net/jobs/p/oMAuh7fV7CTx-Devops-Engineer---Software-Development-Rasan-Cairo-Egypt?o=66&l=sp&t=sj&a=python|search-v3|navbg
Backend Developer,Khales -,"Giza, Egypt ",Confidential,['Full Time'],Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · back-end · Agile · Python · API · Java · Web Development · Development · Bootstrap,https://wuzzuf.net/jobs/p/Qgn5XFNG0cX9-Backend-Developer-Khales-Giza-Egypt?o=67&l=sp&t=sj&a=python|search-v3|navbg
Odoo Developer,Isky Development -,"6th of October, Giza, Egypt ",Confidential,['Full Time'],Entry Level · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · jQuery · Odoo · Python · Programming · PostgreSQL · XML,https://wuzzuf.net/jobs/p/B1xogYzy2uyt-Odoo-Developer-Isky-Development-Giza-Egypt?o=68&l=sp&t=sj&a=python|search-v3|navbg
System Engineer,Link Datacenter -,"Giza, Egypt ",Confidential,['Full Time'],Entry Level · 1 - 3 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Engineering · Computer Science · Engineering · English · Information Technology (IT) · Linux · MySQL,https://wuzzuf.net/jobs/p/NJ3GwQKh8YMG-System-Engineer-Link-Datacenter-Giza-Egypt?o=69&l=sp&t=sj&a=python|search-v3|navbg
Senior Software Engineer - Alexandria,Softxpert Incorporation  -,"Alexandria, Egypt ",Confidential,['Full Time'],Experienced · 2 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · PHP · Computer Science · Computer Engineering · PHP Development · Information Technology (IT) · Engineering · Software Development · Software Engineering,https://wuzzuf.net/jobs/p/o8llxj3uR96X-Senior-Software-Engineer---Alexandria-Softxpert-Incorporation-Alexandria-Egypt?o=70&l=sp&t=sj&a=python|search-v3|navbg
"Senior C++ Software Developer, Remote Egypt",Luxoft (A DXC Technology Company) -,"Cairo, Egypt ",Confidential,['Full Time'],Experienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · API · Architecture · C++ · Computer Science · Design · Git · Information Technology (IT),https://wuzzuf.net/jobs/p/NZmUqlRm8f8j-Senior-C-Software-Developer-Remote-Egypt-Luxoft-A-DXC-Technology-Company-Cairo-Egypt?o=71&l=sp&t=sj&a=python|search-v3|navbg
Data Scientist “Mathematics/Physics”,Dafa -,"Cairo, Egypt ",Confidential,['Full Time'],Experienced · 7 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Business Objects · Computer Science · D3 · Data Mining · Gurobi · Information Technology (IT) · Mathematics · Python,https://wuzzuf.net/jobs/p/bRZ7uIbexSQa-Data-Scientist-“MathematicsPhysics”-Dafa-Cairo-Egypt?o=72&l=sp&t=sj&a=python|search-v3|navbg
Cloud Solution Engineer - R&D,Link Datacenter -,"Giza, Egypt ",Confidential,['Full Time'],Experienced · 2 - 4 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Azure · Cloud · Computer Engineering · Computer Science · Docker · Engineering · Information Technology (IT),https://wuzzuf.net/jobs/p/ORsKVUR16qTo-Cloud-Solution-Engineer---RD-Link-Datacenter-Giza-Egypt?o=73&l=sp&t=sj&a=python|search-v3|navbg
Odoo Developer,Alarabia Group -,"10th of Ramadan City, Cairo, Egypt ",Confidential,['Full Time'],Experienced · 2 - 6 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Engineering · Computer Science · Engineering · Git · HTML · Information Technology (IT) · CSS,https://wuzzuf.net/jobs/p/9eqZpHqQmiHl-Odoo-Developer-Alarabia-Group-Cairo-Egypt?o=74&l=sp&t=sj&a=python|search-v3|navbg
DevOps Java Developer,Ejada (Cairo) -,"Cairo, Egypt ",Confidential,['Full Time'],Experienced · 4 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · AWS · Java · DevOps · Docker · Hibernate · Git · J2EE · Python,https://wuzzuf.net/jobs/p/3U8oVi5w3b9Y-DevOps-Java-Developer-Ejada-Cairo-Cairo-Egypt?o=75&l=sp&t=sj&a=python|search-v3|navbg
IT Applications Engineer,Marakez -,"New Cairo, Cairo, Egypt ",Confidential,['Full Time'],Entry Level · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering · Information Technology (IT) · Computer Science · PHP · Microsoft Office · Linux · Java · Python,https://wuzzuf.net/jobs/p/9ElQyPBVZA4b-IT-Applications-Engineer-Marakez-Cairo-Egypt?o=76&l=sp&t=sj&a=python|search-v3|navbg
Senior Full Stack Developer,Dafater -,"Nasr City, Cairo, Egypt ",Confidential,"['Full Time', 'Work From Home']",Experienced · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · Software Engineering · Software · CSS · HTML · javaScript,https://wuzzuf.net/jobs/p/3irk407SkgH9-Senior-Full-Stack-Developer-Dafater-Cairo-Egypt?o=77&l=sp&t=sj&a=python|search-v3|navbg
Senior C++ Software Developer,Luxoft (A DXC Technology Company) -,"Cairo, Egypt ",Confidential,"['Full Time', 'Work From Home']",Experienced · 6 - 20 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · C++ · OOP · Communication skills · Computer Science · Information Technology (IT) · Engineering · Software Development · Software Engineering,https://wuzzuf.net/jobs/p/oguf9nA5ux2T-Senior-C-Software-Developer-Luxoft-A-DXC-Technology-Company-Cairo-Egypt?o=78&l=sp&t=sj&a=python|search-v3|navbg
Senior Odoo Developer,etmana -,"Katameya, Cairo, Egypt ",Confidential,['Full Time'],Experienced · 3 - 7 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Odoo · Programming · Framework · application · Software Engineering · Software Development,https://wuzzuf.net/jobs/p/df11w5J7MiU4-Senior-Odoo-Developer-etmana-Cairo-Egypt?o=79&l=sp&t=sj&a=python|search-v3|navbg
Senior Full Stack Team Lead / Tech Lead,Salem Capital -,"New Cairo, Cairo, Egypt ","Confidential, Competitive & Negotiation",['Full Time'],Experienced · 5 - 8 Yrs of Exp · IT/Software Development · Operations/Management · Engineering - Telecom/Technology · Computer Science · HTML · Information Technology (IT) · JavaScript · MongoDB · Software Development · Angular,https://wuzzuf.net/jobs/p/N9Bu6PAa2h6V-Senior-Full-Stack-Team-Lead-Tech-Lead-Salem-Capital-Cairo-Egypt?o=80&l=sp&t=sj&a=python|search-v3|navbg
Site Reliability Engineer (SRE),Qoyod -,"Cairo, Egypt ","Confidential, Perks & Benefits:

Training & Development Culture
Career Professional Growth.
Work From Home.
Bonus System.
Family Medical Insurance.
Social Insurance.",['Full Time'],Experienced · 5+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Docker · AWS · Infrastructure · SaaS · Kubernetes · Python · Shell Scripting,https://wuzzuf.net/jobs/p/3x9wEPJKUzxF-Site-Reliability-Engineer-SRE-Qoyod-Cairo-Egypt?o=81&l=sp&t=sj&a=python|search-v3|navbg
Test Automation Engineer,Ejada (Cairo) -,"Cairo, Egypt ",Confidential,['Full Time'],Experienced · 6+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Java · TFS · Jira · Testing · JMeter · Appium · Python · Jenkins,https://wuzzuf.net/jobs/p/Xlj1GgIbTOOn-Test-Automation-Engineer-Ejada-Cairo-Cairo-Egypt?o=82&l=sp&t=sj&a=python|search-v3|navbg
Software Engineer (Ruby On Rails),Qoyod -,"Cairo, Egypt ","Confidential, Perks & Benefits:

Training & Development Culture
Career Professional Growth
Flexibility Work Environment
Bonus System
Family Medical Insurance
Social Insurance",['Full Time'],Experienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Ruby on Rails · Information Technology (IT) · Engineering · Ruby · Software Development · HTML5 · MVC,https://wuzzuf.net/jobs/p/gk8tab2LxKRm-Software-Engineer-Ruby-On-Rails-Qoyod-Cairo-Egypt?o=83&l=sp&t=sj&a=python|search-v3|navbg
